"year","month","4T","4S","4W","4X","3K","3L","4R","total","country","source"
2022,"6",1,0,0,0,0,0,0,1,"Canada","S52"
2022,"7",6,1,3,1,0,0,0,11,"Canada","S52"
2022,"8",6,0,3,2,4,1,5,21,"Canada","S52"
2022,"9",5,0,1,3,6,1,5,21,"Canada","S52"
2022,"10",0,0,1,3,4,1,3,12,"Canada","S52"
2022,"11",0,0,1,2,2,0,0,5,"Canada","S52"
2023,"6",6,0,2,3,0,0,0,11,"Canada","S52"
2023,"7",12,0,3,5,0,0,6,26,"Canada","S52"
2023,"8",7,0,3,1,0,0,10,21,"Canada","S52"
2023,"9",4,0,2,1,4,0,4,15,"Canada","S52"
2023,"10",1,0,2,1,4,0,0,8,"Canada","S52"
2023,"11",0,0,2,2,0,2,0,6,"Canada","S52"
2023,"12",0,0,0,0,0,2,0,2,"Canada","S52"
2024,"6",2,0,0,0,0,0,0,2,"Canada","S52"
2022,"total",18,1,9,11,16,3,13,71,"Canada","S52"
2023,"total",30,0,14,13,8,4,20,89,"Canada","S52"
2024,"total",2,0,0,0,0,0,0,2,"Canada","S52"
