"year","N","n","mean.fish","min.fish","max.fish"
1973,97,3504,36,11,99
1974,45,1860,41,20,100
1975,58,2179,38,22,65
1976,89,2980,33,20,56
1977,91,3262,36,13,100
1978,74,1962,27,13,100
1979,107,2850,27,12,112
1980,71,1864,26,14,39
1981,68,1635,24,7,50
1982,54,1441,27,14,54
1983,116,3647,31,5,58
1984,123,4117,33,5,68
1985,103,3532,34,15,78
1986,85,2910,34,15,65
1987,81,2449,30,12,51
1988,62,2004,32,18,70
1989,85,2810,33,6,144
1990,58,1934,33,11,48
1991,57,2015,35,15,50
1992,57,2226,39,15,59
1993,71,2435,34,15,50
1994,40,1416,35,1,50
1995,66,2276,34,17,69
1996,48,1764,37,13,50
1997,48,1866,39,16,50
1998,52,1891,36,16,49
1999,53,2151,41,29,68
2000,52,1796,35,16,57
2001,66,2426,37,19,50
2002,58,1931,33,22,47
2003,78,2553,33,15,50
2004,71,2626,37,12,58
2005,108,3975,37,14,91
2006,128,4665,36,14,56
2007,126,3871,31,15,49
2008,73,2545,35,4,57
2009,93,3215,35,10,69
2010,134,4443,33,15,50
2011,68,2424,36,8,56
2012,60,2006,33,15,78
2013,36,1083,30,17,48
2014,46,1385,30,13,45
2015,42,1322,31,18,61
2016,57,2044,36,21,56
2017,72,2271,32,1,50
2018,62,2556,41,18,106
2019,195,3643,19,1,100
2020,149,2760,19,1,50
2021,134,2724,20,1,54
2022,125,2808,22,1,96
