"year","N","n.fish","mean.fish","min.fish","max.fish"
1976,100,14219,142,80,229
1977,95,12458,131,76,319
1978,98,11280,115,83,178
1979,115,13359,116,77,191
1980,101,11940,118,80,209
1981,78,10006,128,100,206
1982,81,9621,119,76,211
1983,13,1608,124,95,160
1984,85,19637,231,78,351
1985,64,13932,218,78,282
1986,48,10903,227,74,295
1987,94,17828,190,73,391
1988,118,23780,202,100,338
1989,94,20860,222,91,283
1990,42,10295,245,155,314
1991,54,12549,232,114,274
1992,46,11256,245,147,318
1993,47,11305,241,91,351
1994,50,11750,235,141,311
1995,72,16970,236,113,356
1996,54,12808,237,107,341
1997,51,12188,239,140,334
1998,55,13213,240,111,443
1999,59,13875,235,88,349
2000,55,12779,232,156,330
2001,78,19219,246,155,347
2002,64,15694,245,151,283
2003,80,18878,236,155,294
2004,78,19175,246,180,295
2005,87,14681,169,78,252
2006,88,15586,177,148,329
2007,76,14053,185,150,263
2008,57,9948,175,145,241
2009,75,12970,173,103,284
2010,79,13635,173,138,255
2011,49,8504,174,132,283
2012,45,7401,164,148,206
2013,36,5954,165,147,322
2014,46,7495,163,149,254
2015,43,7144,166,107,272
2016,59,10456,177,146,263
2017,63,11097,176,150,290
2018,53,9109,172,116,271
2019,48,8555,178,146,283
2020,37,6138,166,110,275
2021,48,8277,172,131,263
2022,73,11453,157,71,488
2023,89,14578,164,111,240
2024,69,11138,161,93,238
